,_id,idUsuario,tipo,estado,foliointerno,fechaEmision,fechaCierre,priceKey,Productos.idProducto,Productos.idLocal,Productos.unidades,Productos.precioUnitario,Productos.cantidad,Productos.importe,Especificaciones._id,Especificaciones.idLocal,Especificaciones.estructura,Especificaciones.descripcion,Especificaciones.tipo,Especificaciones.calibreECT,Especificaciones.caraExterior,Especificaciones.largo,Especificaciones.ancho,Especificaciones.alto,Especificaciones.tipoUnion,Especificaciones.suaje,Usuario._id,Usuario.apellidoContacto,Usuario.nombreContacto,Usuario.email,Usuario.calle,Usuario.numero,Usuario.alcaldia_municipio,Usuario.ciudad,Usuario.cp,Usuario.rfc,Usuario.nivelAcceso,Usuario.razonSocial
0,5fc3da6c62f23e3d63860a22,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24156,2020-09-11,2020-10-30,32regularkraft,5fc3d5a130024fb085af64ab,CJ246,millares,10600.0,2.0,21200.0,5fc3d5a130024fb085af64ab,CJ246,caja regular,Corrugado 12 SH 1 LT,regular,32,kraft,32.3,24.5,30.3,CIG,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
1,5fc3db5f62f23e3d63860a24,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24157,2020-09-11,2020-10-30,29regularkraft,5fc3dad730024fb085af64ac,CJ245,millares,3536.0,2.5,8840.0,5fc3dad730024fb085af64ac,CJ245,caja regular,Corrugado 12 remove,regular,29,kraft,19.6,15.0,17.5,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
2,5fc3de2962f23e3d63860a26,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24374,2020-11-06,2020-12-07,32dosPiezaskraft,5fc3dd7e30024fb085af64ad,CJ247,millares,13832.0,2.0,27664.0,5fc3dd7e30024fb085af64ad,CJ247,caja en dos piezas,Corrugado 24 VELLOS,dosPiezas,32,kraft,44.3,32.0,14.5,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
3,5fc3dfbc62f23e3d63860a27,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24375,2020-11-06,2020-12-07,29regularkraft,5fc3df6630024fb085af64ae,CJ65,millares,2756.0,3.0,8268.0,5fc3df6630024fb085af64ae,CJ65,caja regular,Corrugado primer PULVER AZUL 12 piezas,regular,29,kraft,20.0,10.4,18.5,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
4,5fc3e09a62f23e3d63860a28,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24377,2020-11-06,2020-11-14,29dosPiezaskraft,5fc3e05030024fb085af64af,CJ67,millares,4191.0,2.0,8382.0,5fc3e05030024fb085af64af,CJ67,caja regular,Corrugado 24 RPQ,dosPiezas,29,kraft,26.3,17.8,13.2,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
5,5fc3e1b362f23e3d63860a29,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24376,2020-11-06,2020-11-14,29regularkraft,5fc3e18e30024fb085af64b0,CJ90,millares,2756.0,2.0,5512.0,5fc3e18e30024fb085af64b0,CJ90,caja regular,CORRUGADO PULVER BLANCO 12 PIEZAS,regular,29,kraft,20.0,10.4,18.5,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
6,5fc3e22e62f23e3d63860a2a,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24378,2020-11-06,2020-12-09,29dosPiezaskraft,5fc3e05030024fb085af64af,CJ67,millares,4191.0,4.0,16764.0,5fc3e05030024fb085af64af,CJ67,caja regular,Corrugado 24 RPQ,dosPiezas,29,kraft,26.3,17.8,13.2,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
7,5fc3e2fc62f23e3d63860a2b,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24379,2020-11-06,2020-12-10,29regularkraft,5fc3e2df30024fb085af64b1,CJ186,millares,3089.0,3.0,9267.0,5fc3e2df30024fb085af64b1,CJ186,caja regular,CORRUGADO TINTA COLOR 12 ETC,regular,29,kraft,19.0,12.7,18.6,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
8,5fc3e39162f23e3d63860a2c,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24381,2020-11-06,2020-12-14,29regularkraft,5fc3e34730024fb085af64b2,CJ42,millares,6178.0,2.0,12356.0,5fc3e34730024fb085af64b2,CJ42,caja regular,CORRUGADO 30 ECT,regular,29,kraft,25.2,23.5,19.0,CIP,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
9,5fc3e48062f23e3d63860a2d,5fba998a345a4bb6ed3446c8,ordenProduccion,abierta,24382,2020-11-06,2020-12-03,32dosPiezaskraft,5fc3e3ef30024fb085af64b3,CJ248,millares,7166.0,2.0,14332.0,5fc3e3ef30024fb085af64b3,CJ248,caja regular,CORRUGADO 30 ECT,dosPiezas,32,kraft,26.0,19.5,20.0,CIG,0,5fba998a345a4bb6ed3446c8,Gonzalez Martinez,Enrique,onoYoko@dominio.com,Dr. Enrique Gonzalez Martinez No. 6 Local ,No.6 Local 1,Cuahutemoc,CDMX,6400,LOQ640401GH0,cliente,LOQUAY. S.A.
10,5fc4214418ac7fa60bdd383f,5fbb2a25169e8c0534716100,ordenProduccion,abierta,3447,2018-11-30,2018-12-18,32regularblanco,5fc3f66e30024fb085af64b4,panela premium separador,millares,2720.0,5.0,13600.0,5fc3f66e30024fb085af64b4,panela premium suaje,suaje,Panela premium recubrimiento interior antihumedad,regular,32,blanco,164.7,61.2,0.0,N/A,1,5fbb2a25169e8c0534716100,Rodriguez  ,Rosario,facturaciones@covadonga.com.mx,Aldana,No. 43,Texcoco,Estado de México,56170,CCO810311660,cliente,CREMERIA COVADONGA S.A. DE C.V.
11,5fc4214418ac7fa60bdd383f,5fbb2a25169e8c0534716100,ordenProduccion,abierta,3447,2018-11-30,2018-12-18,26N/Akraft,5fc3f6b030024fb085af64b6,panela premium separador,millares,2720.0,5.0,13600.0,5fc3f6b030024fb085af64b6,panela premium separador,separador,Panela premium recubrimiento interior antihumedad,N/A,26,kraft,29.0,29.0,0.0,N/A,0,5fbb2a25169e8c0534716100,Rodriguez  ,Rosario,facturaciones@covadonga.com.mx,Aldana,No. 43,Texcoco,Estado de México,56170,CCO810311660,cliente,CREMERIA COVADONGA S.A. DE C.V.
12,5fc42b3918ac7fa60bdd3840,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt29,2020-03-12,2020-03-19,32N/Akraft,5fc4298f30024fb085af64b7,normal fondo,millares,16450.0,4.0,65800.0,5fc4298f30024fb085af64b7,normal fondo,charola,normal fondo,N/A,32,kraft,103.5,33.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
13,5fc42b3918ac7fa60bdd3840,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt29,2020-03-12,2020-03-19,32N/Akraft,5fc429bf30024fb085af64b8,normal tapa,millares,19700.0,4.0,78800.0,5fc429bf30024fb085af64b8,normal tapa,charola,normal tapa,N/A,32,kraft,104.5,34.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
14,5fc42b3918ac7fa60bdd3841,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt22,2019-09-14,2019-09-21,32N/Akraft,5fc4298f30024fb085af64b7,normal fondo,millares,16450.0,4.0,65800.0,5fc4298f30024fb085af64b7,normal fondo,charola,normal fondo,N/A,32,kraft,103.5,33.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
15,5fc42b3918ac7fa60bdd3841,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt22,2019-09-14,2019-09-21,32N/Akraft,5fc429bf30024fb085af64b8,normal tapa,millares,19700.0,4.0,78800.0,5fc429bf30024fb085af64b8,normal tapa,charola,normal tapa,N/A,32,kraft,104.5,34.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
16,5fc42b3a18ac7fa60bdd3842,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt15,2019-03-18,2019-03-25,32N/Akraft,5fc4298f30024fb085af64b7,normal fondo,millares,16450.0,4.0,65800.0,5fc4298f30024fb085af64b7,normal fondo,charola,normal fondo,N/A,32,kraft,103.5,33.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
17,5fc42b3a18ac7fa60bdd3842,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt15,2019-03-18,2019-03-25,32N/Akraft,5fc429bf30024fb085af64b8,normal tapa,millares,19700.0,4.0,78800.0,5fc429bf30024fb085af64b8,normal tapa,charola,normal tapa,N/A,32,kraft,104.5,34.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
18,5fc42b3a18ac7fa60bdd3843,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt8,2018-09-19,2018-09-26,32N/Akraft,5fc4298f30024fb085af64b7,normal fondo,millares,16450.0,4.0,65800.0,5fc4298f30024fb085af64b7,normal fondo,charola,normal fondo,N/A,32,kraft,103.5,33.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
19,5fc42b3a18ac7fa60bdd3843,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt8,2018-09-19,2018-09-26,32N/Akraft,5fc429bf30024fb085af64b8,normal tapa,millares,19700.0,4.0,78800.0,5fc429bf30024fb085af64b8,normal tapa,charola,normal tapa,N/A,32,kraft,104.5,34.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
20,5fc42b3a18ac7fa60bdd3844,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt1,2018-03-23,2018-03-30,32N/Akraft,5fc4298f30024fb085af64b7,normal fondo,millares,16450.0,4.0,65800.0,5fc4298f30024fb085af64b7,normal fondo,charola,normal fondo,N/A,32,kraft,103.5,33.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
21,5fc42b3a18ac7fa60bdd3844,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt1,2018-03-23,2018-03-30,32N/Akraft,5fc429bf30024fb085af64b8,normal tapa,millares,19700.0,4.0,78800.0,5fc429bf30024fb085af64b8,normal tapa,charola,normal tapa,N/A,32,kraft,104.5,34.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
22,5fc42b3a18ac7fa60bdd3845,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt-6,2017-09-24,2017-10-01,32N/Akraft,5fc4298f30024fb085af64b7,normal fondo,millares,16450.0,4.0,65800.0,5fc4298f30024fb085af64b7,normal fondo,charola,normal fondo,N/A,32,kraft,103.5,33.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
23,5fc42b3a18ac7fa60bdd3845,5fbb463ad94852d0d6906924,ordenProduccion,abierta,ivZt-6,2017-09-24,2017-10-01,32N/Akraft,5fc429bf30024fb085af64b8,normal tapa,millares,19700.0,4.0,78800.0,5fc429bf30024fb085af64b8,normal tapa,charola,normal tapa,N/A,32,kraft,104.5,34.8,20.2,N/A,0,5fbb463ad94852d0d6906924,Parangueo,Norma,invernaderos@izi.com.mx,Jaime Torres Bodet,No. 16,Zitacuaro,Michoacán,61513,OOge30402,cliente,"Invernaderos de Zitácuaro, S. de R.L."
24,5fc4314d18ac7fa60bdd3846,5fbb48fbd94852d0d6906925,ordenProduccion,abierta,1IN-00729,2020-10-14,2020-10-21,23regularkraft,5fc4307330024fb085af64b9,3P,millares,8070.0,1.5,12105.0,5fc4307330024fb085af64b9,3P,caja regular,CAJA DE CARTÓN TIPO 3P,regular,23,kraft,37.0,33.5,16.9,CIP,0,5fbb48fbd94852d0d6906925,Aamilla Martinez,Veronica,chicaPlastica@siembra.com.mx,Prolongación ciprés,N.ext 3998,Azcapotzalco,CDMX,2970,PLA970124IKA,cliente,"PLASTONIUM, S.A DE C.V."
